Id,SalePrice
1461,120005.195
1462,160256.12
1463,178179.77
1464,186231.5
1465,172702.77
1466,168132.7
1467,173933.52
1468,165796.66
1469,175749.33
1470,123568.375
1471,197647.67
1472,93841.7
1473,92915.07
1474,156917.95
1475,122594.71
1476,378490.84
1477,257198.9
1478,294660.88
1479,244330.9
1480,563616.1
1481,311120.03
1482,209138.83
1483,166014.31
1484,161744.97
1485,176457.31
1486,196149.42
1487,332074.06
1488,238361.34
1489,200883.31
1490,222062.06
1491,194706.5
1492,89323.48
1493,186755.1
1494,294414.34
1495,281697.5
1496,236825.44
1497,182673.52
1498,163924.69
1499,160446.53
1500,157553.36
1501,182533.69
1502,156467.77
1503,315587.1
1504,244542.61
1505,223322.22
1506,185535.03
1507,249932.89
1508,198314.97
1509,166029.92
1510,150234.17
1511,145379.58
1512,173063.22
1513,139716.05
1514,175487.67
1515,188564.02
1516,155581.36
1517,161101.3
1518,134473.72
1519,225353.52
1520,132024.11
1521,135016.16
1522,169764.23
1523,114466.336
1524,122756.03
1525,123598.125
1526,116267.125
1527,109247.766
1528,137755.56
1529,152919.19
1530,177431.89
1531,96385.67
1532,102425.875
1533,155041.94
1534,124187.9
1535,159893.47
1536,107134.27
1537,71461.09
1538,176349.2
1539,194549.64
1540,89251.18
1541,140721.66
1542,140973.23
1543,225438.25
1544,80647.68
1545,111278.22
1546,143132.27
1547,135293.84
1548,137634.34
1549,116827.62
1550,141298.25
1551,113521.72
1552,141800.17
1553,157601.42
1554,117070.59
1555,170357.38
1556,91040.57
1557,106013.5
1558,100521.27
1559,54395.35
1560,135724.8
1561,139538.02
1562,128545.734
1563,119569.3
1564,153256.14
1565,149921.08
1566,239727.84
1567,73931.27
1568,234702.5
1569,155323.19
1570,139197.31
1571,119568.45
1572,153520.77
1573,239596.31
1574,120088.42
1575,217691.1
1576,232117.17
1577,190909.23
1578,148316.39
1579,145715.58
1580,199261.73
1581,164213.94
1582,133634.3
1583,322380.5
1584,232242.56
1585,139740.25
1586,82342.25
1587,94956.836
1588,147334.81
1589,100513.914
1590,136548.42
1591,97076.17
